trackname,tracktype,importance,currentcon,lastcut,nextcut,importance,lastcheck,history,custodian,track_geometry
Jacko Flat Hut from Cooked roadend,TrackFormed,3,Cut and marked 2024. Rough terrain despite this. Lots of ups and downs,1.71975E+12,,3,1.71975E+12,,,"MULTILINESTRING((19105333.073699996 -5259033.34914231,19105351.451899998 -5259100.391942307,19105259.9469 -5259192.096342304,19105198.591100004 -5259224.874142303,19105170.92789999 -5259355.470042309,19105168.185199995 -5259424.612642317,19105057.0508 -5259526.17244231,19104979.5113 -5259706.424442319,19104919.378199995 -5259713.581242312,19104857.041799992 -5259756.517442309,19104790.1656 -5259879.151842328,19104602.116899986 -5260071.436342318,19104562.26879999 -5260127.7652423205,19104616.105499998 -5260263.394142329,19104615.926599998 -5260374.101742327,19104726.830200005 -5260537.102442328,19104732.6898 -5260675.590742334,19104773.94709999 -5260931.8904423285,19104888.280399997 -5261283.83144235,19105030.897299986 -5261410.764742341,19105084.062799986 -5261533.75564234,19105046.044500005 -5261577.098642347,19105053.309100002 -5261629.323542351,19105096.842399992 -5261722.236342345,19105208.72169999 -5261830.70424235,19105219.434299994 -5261990.27464235,19105218.593500003 -5262070.64044236,19105275.9057 -5262338.636842358,19105274.903299995 -5262400.501442358,19105216.479099985 -5262601.477942368,19105231.592200004 -5262670.121442365,19105279.544699997 -5262714.873842373,19105304.470699996 -5262778.792642369,19105417.179799996 -5262832.743942366,19105557.293700002 -5262797.571742371,19105735.8831 -5262891.677342375,19105800.21899999 -5262926.923442368,19105940.917799994 -5263157.209942374,19106066.5344 -5263216.251242371,19106048.185500003 -5263347.870242369,19106042.586699996 -5263410.897542371,19106080.419399995 -5263479.914542382,19106186.1275 -5263566.319942381,19106316.880199987 -5263609.157142382,19106381.406499986 -5263633.00444238,19106455.8232 -5263748.217342387,19106450.326599993 -5263888.19614238,19106472.071099997 -5263948.810842392,19106678.509000007 -5264129.684342388,19106691.986500006 -5264199.938742386,19106594.7456 -5264292.834142389,19106537.862200003 -5264347.001042398,19106521.204399996 -5264426.959442399,19106557.560000002 -5264486.058742398,19106696.283999998 -5264639.784142404,19106605.2932 -5264747.444742401,19106457.613599993 -5265049.654242414,19106429.3994 -5265189.284142421,19106376.923699997 -5265323.635942409,19106358.105099995 -5265383.602342423,19106346.062500004 -5265526.7570424145,19106301.69709999 -5265661.244642412,19106312.0332 -5265724.944042421,19106221.93 -5265901.881042426,19106205.515099995 -5265973.246642428,19106190.565 -5266095.184742436,19106110.6773 -5266217.699042431,19106048.65359999 -5266273.696542436,19106013.68399999 -5266408.103742433,19105976.9051 -5266532.606842436,19105973.57399999 -5266672.963842442,19105915.2673 -5266812.426342435,19105838.094099995 -5266942.179242448,19105774.16649999 -5267097.066742436,19105763.874799997 -5267161.797442448,19105728.203699995 -5267214.046942448,19105707.0414 -5267268.683542458,19105710.988399994 -5267350.976342447,19105783.506499995 -5267530.864142458,19105806.736399997 -5267565.151342455,19105852.55799999 -5267625.892942454))"
Wilson Knob from the Griffin Creek track,Route,2,Good,,,2,1.62505E+12,,,"MULTILINESTRING((19077916.24029999 -5278479.35044265,19077904.868699983 -5278482.461742642,19077896.852499988 -5278492.730442648,19077869.517499994 -5278522.860042649,19077874.908399984 -5278547.612142646,19077874.250999987 -5278562.805242655,19077853.346599996 -5278576.136342639,19077844.70309999 -5278593.628042655,19077832.832199983 -5278594.625342653,19077816.42569999 -5278609.146942647,19077814.781699985 -5278624.811642649,19077814.68789999 -5278642.468342648,19077806.780299988 -5278704.864242645,19077785.14149999 -5278728.206242646,19077768.96569999 -5278758.574642651,19077743.801499996 -5278783.3585426565,19077742.559899986 -5278794.423042647,19077753.164099988 -5278812.855642658,19077749.347199984 -5278842.67324265,19077736.19709998 -5278871.352842647,19077734.470199984 -5278907.273642654,19077708.696399987 -5278941.5270426525,19077707.162199978 -5278971.77244266,19077711.03779999 -5279008.637142652,19077709.866599984 -5279034.329042658,19077718.736899987 -5279039.658742654,19077712.770699985 -5279062.2053426625,19077699.621099994 -5279067.986142662,19077687.765799984 -5279093.633142662,19077704.262399994 -5279131.845742657,19077700.045799993 -5279135.576242658,19077699.853399985 -5279145.127842653,19077690.602399986 -5279152.869442657,19077685.390599996 -5279166.555042657,19077665.164799992 -5279182.442142658,19077665.811699986 -5279193.524742659,19077617.058999993 -5279213.6718426645,19077602.19479999 -5279208.691042651,19077558.3034 -5279260.018842652,19077514.130599983 -5279303.91094266,19077512.89009999 -5279325.578442653,19077481.328299988 -5279348.53784267,19077445.78399999 -5279370.0788426595,19077383.582699988 -5279367.918042654,19077184.593299985 -5279330.342242662,19077169.709899988 -5279349.120342665,19077151.84649999 -5279386.607242666,19077134.953899983 -5279387.969342666,19077119.258599985 -5279434.361942659,19077084.99509998 -5279436.105042667,19077043.020799994 -5279484.155942659,19077033.25739999 -5279525.824742667,19077042.777899995 -5279553.105942671,19077011.057599988 -5279594.260142669,19077014.64289998 -5279656.00954266,19077030.91279999 -5279663.211442668,19077039.029199988 -5279681.890942667,19077022.528699987 -5279725.591742674,19077015.932499982 -5279731.021142674,19077014.761499986 -5279735.980042671,19077006.160699993 -5279742.712842666,19076983.497699987 -5279770.682642672,19076968.314299986 -5279800.0311426725,19076970.418799985 -5279814.072942674,19076961.058199994 -5279824.239642671,19076962.290199988 -5279839.593942669,19076940.150399987 -5280051.951142673,19076676.13289999 -5280255.658542675))"
Gerhardt Spur Biv track,TrackFormed,3,Reasonably good. Some windthrow and regen up to pt 867m. well trimmed from here to Biv,,,3,,,Jordan Searle,"MULTILINESTRING((19039395.459984608 -5307376.779150567,19039750.407746978 -5307326.206421147,19039894.69984831 -5307360.675322837,19040057.291649405 -5307449.564227466,19040415.75365678 -5307669.019177376,19040491.80646497 -5307693.703805383,19040682.983107556 -5307675.262100461,19040857.18363911 -5307756.229846144,19041095.925764278 -5307936.874506781,19041216.66355191 -5308003.501583736,19041342.135868803 -5308006.423084762,19041484.356759686 -5307990.0972582055,19041555.07357941 -5308034.285109476,19041668.92714709 -5308187.470596648,19041742.867779262 -5308233.369234605,19041851.369328465 -5308265.343176603,19041984.91809706 -5308271.716281525,19042029.330789022 -5308254.747615902,19042069.42951676 -5308283.495285567,19042228.3742687 -5308319.907940503,19042505.176750407 -5308336.138791687,19042620.1115643 -5308301.16374336,19042722.774851494 -5308303.538812652,19042955.633296292 -5308387.465871519,19043061.331932034 -5308399.725517548,19043239.370091718 -5308385.8355642315,19043462.737102777 -5308386.077942143,19043631.72910668 -5308411.244198057,19043713.50841212 -5308400.036668564,19043994.287559994 -5308170.866479125,19044172.581754506 -5308145.510989113,19044212.493020225 -5308111.247485943,19044305.89419182 -5308126.482625254,19044361.51764706 -5308153.940293564,19044413.035305522 -5308146.94117994,19044566.70830034 -5308200.373570201,19044602.596145697 -5308199.560182533,19044731.894402176 -5308141.980548777,19044890.91039859 -5308103.89740049,19045101.32805856 -5308099.713199297,19045165.582447883 -5308142.090095259,19045208.654630538 -5308147.983697903,19045379.85476786 -5308075.808469729,19045522.05417408 -5307988.242301407,19045748.764666043 -5307948.417569232,19045809.354306407 -5307972.706900533,19045886.219746888 -5307926.189096416,19046032.970673125 -5307925.441611095,19046125.16736783 -5307885.816150205,19046183.06942173 -5307848.682200417,19046264.06336816 -5307835.798729705,19046351.757746063 -5307864.928513531))"
Middle Head Hut to upper TR branch of the Moeraki,Route,2,Still good,,,2,,,,"MULTILINESTRING((18863680.83369734 -5438202.129845453,18863841.639197342 -5438170.115145444,18863952.78819735 -5438190.24324545,18864160.31699736 -5438160.179545456,18864510.76979737 -5438083.576345447,18864817.67239738 -5438039.51644545,18865244.08699741 -5438022.967945449,18865497.696197417 -5438028.347445441))"
Explorer Hut tracked sections from the Mikonui,TrackFormed,3,Good,,,3,1.64371E+12,,,"MULTILINESTRING((19028358.006899934 -5312522.777643246,19028174.041999932 -5312591.079843241,19028170.77139993 -5312724.420143257,19028149.001399934 -5312813.922143253,19028170.11619994 -5312983.884843256,19028224.98869993 -5313078.275243261,19028214.575199936 -5313236.822043257,19028160.478899926 -5313314.070043261,19028034.687399924 -5313387.908943261,19027673.96109993 -5313383.9090432655,19027575.58579993 -5313492.219043265,19027458.590799935 -5313532.8417432625,19027359.457099933 -5313644.698943265,19026175.330299936 -5315033.626243292,19026150.15589993 -5315105.27854329,19025926.41619993 -5315252.051643286,19025713.355799932 -5315370.000843291,19025482.532699928 -5315447.706143298,19025341.09799992 -5315496.705443292,19025281.029599935 -5315515.061943294,19024903.590299923 -5315873.436043307))"
Rolleston River Route,Route,3,Tracked section good. Some rough river travel and ford to get to the start. River not crossable when high.,,,3,,,,"MULTILINESTRING((19096754.05892073 -5291025.608669141,19096588.789551917 -5291137.461214695,19096416.24601098 -5291145.225973513,19096257.326194607 -5291176.643340434,19096178.537264653 -5291339.331998189,19096082.338745568 -5291486.008583532,19095777.784760084 -5291743.239549886,19095744.716414787 -5291763.862377879,19095641.332779173 -5291813.996807415,19095540.52385206 -5291832.074380642,19095478.231580086 -5291848.751015761,19095224.343547642 -5291946.141006644,19094805.95491879 -5292151.772035118,19094657.037381295 -5292312.237071184,19094552.14158172 -5292486.123291612,19094364.03568729 -5292548.456751775,19094313.42494872 -5292559.86496787,19094153.310451567 -5292578.912311701,19094111.136171926 -5292576.1106038485,19093977.110733274 -5292545.707304811,19093955.08973425 -5292537.788731941,19093887.946492817 -5292520.881206857,19093863.144955546 -5292517.036762138,19093779.112877574 -5292530.582702775,19093700.11923107 -5292547.643203382,19093654.978175677 -5292576.237740152,19093612.69101807 -5292598.74848801,19093536.627411887 -5292624.05797335,19093503.857959423 -5292646.720884303,19093463.045228478 -5292662.406324137,19093373.20895225 -5292714.149444238,19093215.409009952 -5292834.441158078,19093145.55858983 -5292893.364188222,19092624.924344517 -5293294.308614513))"
Otehake Valley track / Otehake River Route,Route,5,"Rough terrain, but cut and well-marked",,,5,,,Hugh van Noorden/ Blair Skevington,"MULTILINESTRING((19110939.541150935 -5295806.753279534,19111010.06505398 -5295461.763992186,19111025.79616782 -5295393.626610967,19111125.075008534 -5295083.320888589,19111144.260032218 -5295011.110306032,19111187.83504501 -5294797.724716284,19111235.215848558 -5294535.851196259,19111250.554115918 -5294384.29051598,19111290.65807567 -5294173.590881322,19111337.14175544 -5293818.04479162,19111371.64534293 -5293638.735196606,19111391.000685435 -5293511.8344753375,19111404.939778112 -5293449.13944469,19111444.46587839 -5293319.162585105,19111504.03149076 -5293192.243708185,19111537.567489237 -5293138.742238494,19111644.86901433 -5292987.27660431,19111668.138906725 -5292958.220704313,19111764.470007323 -5292811.369488678,19111806.66476975 -5292727.925339,19111966.98264761 -5292539.698351105,19112158.97103192 -5292352.619341825,19112172.93005079 -5292330.978306687,19112198.97981351 -5292276.692833548,19112250.188671704 -5292183.14128481,19112284.35518378 -5292110.499808313,19112306.22701469 -5292041.114430574,19112305.63045354 -5291904.358594251,19112314.3446546 -5291825.862816658,19112333.4549829 -5291736.594270828,19112354.223526344 -5291693.869611652,19112532.235080667 -5291505.233417278,19112764.064933367 -5291316.748792299,19112949.933751315 -5291059.860908218,19113114.69683908 -5291021.417814467,19113148.153355442 -5291016.477938997,19113231.90702337 -5291018.465005757,19113432.124701038 -5290999.728216137,19113525.61915837 -5290988.192961074,19113585.42677931 -5290974.776515193,19113673.41704442 -5290946.0570145,19113921.092447404 -5290830.957861882,19113968.82490922 -5290805.042713104,19114066.482492864 -5290767.592804137,19114092.10389819 -5290761.839668939,19114166.788255878 -5290734.294436097,19114334.42349783 -5290640.480820693,19114518.515545383 -5290518.916403476,19114649.464224625 -5290441.653790668,19114726.015410174 -5290331.58037099,19114745.25921055 -5290320.868860073,19114767.517208774 -5290271.90397453,19114811.443545885 -5290183.033811436,19114840.723911546 -5290094.622485328,19114856.959747963 -5290013.5173684945,19114875.43366274 -5289941.347649062,19114914.230842985 -5289831.886897564,19115041.746095177 -5289511.22347989,19115123.61122794 -5289323.82497439,19115165.021855876 -5289221.243290913,19115239.4242413 -5289010.507512564,19115321.404033143 -5288748.643298983,19115361.208654784 -5288661.748629241,19115422.958912164 -5288564.975771434,19115470.584395945 -5288478.210643185,19115492.827366043 -5288449.1697750185,19115509.37923849 -5288412.518321785,19115523.15368964 -5288358.738186132,19115535.729897793 -5288292.638897241,19115560.456962325 -5288211.704678864,19115595.224154368 -5288119.951178611,19115614.274815425 -5288077.192740506,19115622.4310832 -5288032.906867744,19115615.731653605 -5288003.410700185,19115475.996081673 -5287522.194104885,19115470.694268286 -5287490.660847924,19115469.76207887 -5287461.955202671,19115478.73643358 -5287431.339092126,19115483.40394851 -5287394.513085658,19115508.728242107 -5287319.031739155,19115523.841532774 -5287220.875183901,19115519.44853171 -5287178.382105141,19115487.547705233 -5287056.298898333,19115493.965496518 -5287037.263375509,19115512.235585306 -5286932.316240621,19115507.90625899 -5286882.360614564,19115441.920406304 -5286521.921110403,19115368.916193686 -5286352.700638073,19115209.11828917 -5286273.029984225,19115158.93702119 -5286259.948306068,19115033.849869736 -5286203.355811275,19114914.21459034 -5286124.296017329,19114637.96659102 -5285891.800831976,19114544.791286666 -5285752.335264523,19114531.561187822 -5285727.526991123,19114459.508422896 -5285632.132836208,19114427.842369225 -5285522.316192739,19114445.158895254 -5285414.636520628,19114542.68289551 -5284959.75956811,19114543.69111614 -5284938.591202564,19114524.46835515 -5284793.440865995,19114499.519764833 -5284646.184277512,19114503.92545632 -5284603.210225138,19114563.752001576 -5284430.615140392,19114585.38048808 -5284351.697913721,19114604.489146594 -5284259.755273663,19114605.96490908 -5284231.0837934045,19114581.83518494 -5283984.793670875,19114574.67010591 -5283941.646003822,19114551.00625384 -5283842.202391314,19114523.313192792 -5283761.861969284,19114450.234173477 -5283600.883937591,19114436.035149787 -5283572.648018509,19114382.43915643 -5283495.313911734,19114345.488766532 -5283419.607018357,19114331.51126863 -5283399.5608032495,19114302.04455414 -5283345.147023976,19114296.856731907 -5283329.35090485,19114267.520149905 -5283112.364545921,19114264.254258685 -5283037.169528535,19114289.317953356 -5282846.315183522,19114311.637956537 -5282767.411581353,19114331.15693869 -5282715.138359514,19114346.08644088 -5282651.164408148,19114308.85619378 -5282526.933895572,19114177.74265037 -5282401.279973724,19114170.164353393 -5282385.459497141,19114157.251849063 -5282340.183132916,19114170.166357145 -5282253.6249994,19114193.995184705 -5282186.375977552,19114266.830191698 -5282052.969067576,19114293.42274826 -5281983.023833792,19114284.894339427 -5281939.858513209,19114260.315886416 -5281856.841766645,19114252.778332375 -5281816.425605395,19114256.12014349 -5281798.03945328,19114278.156727247 -5281736.9184705615,19114307.45523799 -5281667.71431003,19114338.13745 -5281575.975315871,19114351.89063913 -5281478.54059759,19114338.994721398 -5281386.825147244,19114322.98375036 -5281322.381744874,19114305.663439464 -5281276.347091179,19114197.4116912 -5281058.847165575,19114176.974545885 -5280994.352158322,19114164.286684282 -5280912.207892844,19114133.325950906 -5280625.5708969515,19114114.779567145 -5280504.418023906,19114109.34739863 -5280436.721580675,19114102.479542647 -5280397.022390359,19114077.679563846 -5280350.206481286,19114045.07742458 -5280302.578166724,19114035.98930135 -5280275.1121651335,19114025.165150665 -5280226.465293391,19114006.00216824 -5280168.128577864,19114022.552036934 -5280108.980512783,19114031.772185083 -5280085.201371481,19114070.212809004 -5280018.195570856,19114098.07563227 -5279954.445840405,19114138.233804617 -5279886.804633666,19114181.025684793 -5279847.846191919,19114255.030325674 -5279809.799409036,19114307.586372346 -5279770.507573095,19114320.529378224 -5279708.542150263,19114271.33061607 -5279659.650510258,19114216.837832898 -5279593.331694891))"
Lower Olderog Biv Track,Route,3,"Tracked sections good. The river sections are rough going in places, but always have been.",1.69875E+12,,3,1.69875E+12,,Andrew Buglass and whoever else is interested,"MULTILINESTRING((19069546.354599975 -5289825.499042851,19069521.671599977 -5289693.7554428475,19069730.277099982 -5289718.382342841,19069846.15459998 -5289802.785542851,19070129.437399987 -5289877.087742841,19070414.817199986 -5289683.588242843,19070559.647599988 -5289683.2334428495,19070652.557799987 -5289675.30134284,19070892.79799998 -5289296.347442843,19070649.965099987 -5288826.064242836,19070643.78569998 -5288727.962142834,19070545.42639998 -5288438.590042816,19070488.149799984 -5288292.111342828,19070504.71409999 -5287951.177842817,19070279.944899987 -5287638.0595428115,19070136.84249999 -5287553.541142813,19070060.15439998 -5287442.894142808,19070028.270699978 -5287327.091042806,19069881.510999985 -5287306.6017427975,19069756.507999986 -5287320.090842808))"
Newton Creek Hut from the Arahura Valley,TrackFormed,3,Good,,,3,1.5174E+12,,DoC / Community,"MULTILINESTRING((19076629.54729999 -5289444.310042839,19076705.597399987 -5289361.072542834,19076732.97679999 -5289291.382842836,19076715.44809999 -5289145.701042832,19076661.768599983 -5289060.556842826,19076633.184599996 -5289024.07484283,19076596.34219999 -5288993.964242835,19076600.25699999 -5288959.7473428305,19076811.63869999 -5288967.121442831,19076934.412599996 -5288928.680342831,19076968.07469999 -5288870.54604283,19076967.526499987 -5288730.09954283,19076999.60119999 -5288585.389442821,19076997.59029999 -5288520.849642822,19077054.853299983 -5288419.903242826,19077149.349199995 -5288328.660242817,19077209.422399983 -5288250.629642824,19077309.277799994 -5288176.635542824,19077356.743099988 -5288119.588142814,19077518.679199994 -5288032.09924282,19077569.175899986 -5287986.54004282,19077599.10869998 -5287931.602742812,19077640.996399984 -5287868.32444281,19077677.172099985 -5287836.1234428175))"
Mid Styx Hut to Tyndall Creek,Route,1,,,,1,,,,"MULTILINESTRING((19062915.50169998 -5296084.68654296,19062752.22899998 -5296153.585242956,19062305.767199982 -5296128.696942953,19062028.213699974 -5296202.942942963,19061753.88849997 -5296317.288642953,19061754.702399977 -5296317.305742954))"
Miserable Ridge from Rapid Creek,Route,2,OK/ vague in places in the alpine scrub zone.,1.48586E+12,,2,1.7067E+12,,Suze Harris?/ Penny Webster,"MULTILINESTRING((19036783.454599943 -5314534.629243286,19036772.837199952 -5314538.4632432815,19036765.044899948 -5314558.255943277,19036760.592099953 -5314582.616343289,19036732.762199953 -5314616.112043283,19036716.064299945 -5314629.814843281,19036694.91359994 -5314638.95004328,19036669.310099937 -5314680.058643284,19036641.48019995 -5314713.554643281,19036610.310799956 -5314747.050743287,19036562.443399947 -5314766.843943289,19036506.78369994 -5314806.430543287,19036490.87479994 -5314808.40864329,19036410.728899945 -5314795.735843287,19036213.49969995 -5314822.146043285,19036090.464299947 -5314850.322643288,19035954.92609995 -5314855.2748432895,19035831.44319995 -5314902.268343279,19035619.845899947 -5314880.836443298,19035440.76419995 -5314898.658243297,19035241.863099948 -5314892.258843281,19035212.06579995 -5314875.989143283,19035081.63569995 -5314837.658443291,19034906.87409994 -5314742.589743284,19034784.77589994 -5314697.086843279,19034570.08109995 -5314669.007643286,19034465.629299946 -5314636.205443276,19034348.421199944 -5314625.200543281,19034213.19059994 -5314549.082943282,19034090.635199945 -5314488.824343275,19033804.660299953 -5314405.796843277,19033725.75469994 -5314396.526243271,19033278.79189994 -5314155.689543265,19033163.57139995 -5313722.296543269,19032654.799299937 -5313770.3602432655))"
Mirage Knob down to Wanganui cableway,Route,2,"Steep step below 1500m contour sketchy, then a good trail through scrub and easy to follow down to 440m where it peters out.",,,2,2635200000,,,"MULTILINESTRING((19008533.563599885 -5345893.529643823,19007792.631599884 -5344408.247243804,19007804.449699886 -5343478.9102437915,19007422.313999884 -5342594.860343768,19007670.980499875 -5340893.740243739,19008374.988999885 -5340998.105743738))"
Otehake Valley track / Otehake River Route,Route,5,"Rough terrain, but cut and well-marked",,,5,,,Hugh van Noorden/ Blair Skevington,"MULTILINESTRING((19110939.541150935 -5295806.753279534,19111010.06505398 -5295461.763992186,19111025.79616782 -5295393.626610967,19111125.075008534 -5295083.320888589,19111144.260032218 -5295011.110306032,19111187.83504501 -5294797.724716284,19111235.215848558 -5294535.851196259,19111250.554115918 -5294384.29051598,19111290.65807567 -5294173.590881322,19111337.14175544 -5293818.04479162,19111371.64534293 -5293638.735196606,19111391.000685435 -5293511.8344753375,19111404.939778112 -5293449.13944469,19111444.46587839 -5293319.162585105,19111504.03149076 -5293192.243708185,19111537.567489237 -5293138.742238494,19111644.86901433 -5292987.27660431,19111668.138906725 -5292958.220704313,19111764.470007323 -5292811.369488678,19111806.66476975 -5292727.925339,19111966.98264761 -5292539.698351105,19112158.97103192 -5292352.619341825,19112172.93005079 -5292330.978306687,19112198.97981351 -5292276.692833548,19112250.188671704 -5292183.14128481,19112284.35518378 -5292110.499808313,19112306.22701469 -5292041.114430574,19112305.63045354 -5291904.358594251,19112314.3446546 -5291825.862816658,19112333.4549829 -5291736.594270828,19112354.223526344 -5291693.869611652,19112532.235080667 -5291505.233417278,19112764.064933367 -5291316.748792299,19112949.933751315 -5291059.860908218,19113114.69683908 -5291021.417814467,19113148.153355442 -5291016.477938997,19113231.90702337 -5291018.465005757,19113432.124701038 -5290999.728216137,19113525.61915837 -5290988.192961074,19113585.42677931 -5290974.776515193,19113673.41704442 -5290946.0570145,19113921.092447404 -5290830.957861882,19113968.82490922 -5290805.042713104,19114066.482492864 -5290767.592804137,19114092.10389819 -5290761.839668939,19114166.788255878 -5290734.294436097,19114334.42349783 -5290640.480820693,19114518.515545383 -5290518.916403476,19114649.464224625 -5290441.653790668,19114726.015410174 -5290331.58037099,19114745.25921055 -5290320.868860073,19114767.517208774 -5290271.90397453,19114811.443545885 -5290183.033811436,19114840.723911546 -5290094.622485328,19114856.959747963 -5290013.5173684945,19114875.43366274 -5289941.347649062,19114914.230842985 -5289831.886897564,19115041.746095177 -5289511.22347989,19115123.61122794 -5289323.82497439,19115165.021855876 -5289221.243290913,19115239.4242413 -5289010.507512564,19115321.404033143 -5288748.643298983,19115361.208654784 -5288661.748629241,19115422.958912164 -5288564.975771434,19115470.584395945 -5288478.210643185,19115492.827366043 -5288449.1697750185,19115509.37923849 -5288412.518321785,19115523.15368964 -5288358.738186132,19115535.729897793 -5288292.638897241,19115560.456962325 -5288211.704678864,19115595.224154368 -5288119.951178611,19115614.274815425 -5288077.192740506,19115622.4310832 -5288032.906867744,19115615.731653605 -5288003.410700185,19115475.996081673 -5287522.194104885,19115470.694268286 -5287490.660847924,19115469.76207887 -5287461.955202671,19115478.73643358 -5287431.339092126,19115483.40394851 -5287394.513085658,19115508.728242107 -5287319.031739155,19115523.841532774 -5287220.875183901,19115519.44853171 -5287178.382105141,19115487.547705233 -5287056.298898333,19115493.965496518 -5287037.263375509,19115512.235585306 -5286932.316240621,19115507.90625899 -5286882.360614564,19115441.920406304 -5286521.921110403,19115368.916193686 -5286352.700638073,19115209.11828917 -5286273.029984225,19115158.93702119 -5286259.948306068,19115033.849869736 -5286203.355811275,19114914.21459034 -5286124.296017329,19114637.96659102 -5285891.800831976,19114544.791286666 -5285752.335264523,19114531.561187822 -5285727.526991123,19114459.508422896 -5285632.132836208,19114427.842369225 -5285522.316192739,19114445.158895254 -5285414.636520628,19114542.68289551 -5284959.75956811,19114543.69111614 -5284938.591202564,19114524.46835515 -5284793.440865995,19114499.519764833 -5284646.184277512,19114503.92545632 -5284603.210225138,19114563.752001576 -5284430.615140392,19114585.38048808 -5284351.697913721,19114604.489146594 -5284259.755273663,19114605.96490908 -5284231.0837934045,19114581.83518494 -5283984.793670875,19114574.67010591 -5283941.646003822,19114551.00625384 -5283842.202391314,19114523.313192792 -5283761.861969284,19114450.234173477 -5283600.883937591,19114436.035149787 -5283572.648018509,19114382.43915643 -5283495.313911734,19114345.488766532 -5283419.607018357,19114331.51126863 -5283399.5608032495,19114302.04455414 -5283345.147023976,19114296.856731907 -5283329.35090485,19114267.520149905 -5283112.364545921,19114264.254258685 -5283037.169528535,19114289.317953356 -5282846.315183522,19114311.637956537 -5282767.411581353,19114331.15693869 -5282715.138359514,19114346.08644088 -5282651.164408148,19114308.85619378 -5282526.933895572,19114177.74265037 -5282401.279973724,19114170.164353393 -5282385.459497141,19114157.251849063 -5282340.183132916,19114170.166357145 -5282253.6249994,19114193.995184705 -5282186.375977552,19114266.830191698 -5282052.969067576,19114293.42274826 -5281983.023833792,19114284.894339427 -5281939.858513209,19114260.315886416 -5281856.841766645,19114252.778332375 -5281816.425605395,19114256.12014349 -5281798.03945328,19114278.156727247 -5281736.9184705615,19114307.45523799 -5281667.71431003,19114338.13745 -5281575.975315871,19114351.89063913 -5281478.54059759,19114338.994721398 -5281386.825147244,19114322.98375036 -5281322.381744874,19114305.663439464 -5281276.347091179,19114197.4116912 -5281058.847165575,19114176.974545885 -5280994.352158322,19114164.286684282 -5280912.207892844,19114133.325950906 -5280625.5708969515,19114114.779567145 -5280504.418023906,19114109.34739863 -5280436.721580675,19114102.479542647 -5280397.022390359,19114077.679563846 -5280350.206481286,19114045.07742458 -5280302.578166724,19114035.98930135 -5280275.1121651335,19114025.165150665 -5280226.465293391,19114006.00216824 -5280168.128577864,19114022.552036934 -5280108.980512783,19114031.772185083 -5280085.201371481,19114070.212809004 -5280018.195570856,19114098.07563227 -5279954.445840405,19114138.233804617 -5279886.804633666,19114181.025684793 -5279847.846191919,19114255.030325674 -5279809.799409036,19114307.586372346 -5279770.507573095,19114320.529378224 -5279708.542150263,19114271.33061607 -5279659.650510258,19114216.837832898 -5279593.331694891))"
Mid Styx Hut to Styx River Route,Route,2,,,,2,,,,"MULTILINESTRING((19062915.50169998 -5296084.68654296,19063108.978599988 -5296154.683142955,19063208.942499973 -5296124.0881429585,19063261.398299977 -5296028.765142959,19063261.80369998 -5295930.721342955,19063214.46679997 -5295857.827842949,19063234.742299978 -5295743.859342948,19063334.631699983 -5295638.091742947,19063363.94689998 -5295529.737142953))"
